ID,ParamKey,TID_Label,GroupName,Value,Confirmed,Basis,Intent,DocRef
27,mergeMult,합체 배율,합체·버스트,1.8,1,변신 화력 = (A+B 원 DPS) × 배율 — 교대 공백 미적용,"예산 안 지속 항 (배율=키우기 축, 밑=물류 축)",밸런스 5-2 (2026-07-23)
28,mergeOutputMult,합체 산출량 배율,합체·버스트,2,1,"합체 지속 중 두 보드 모든 노드의 산출량 ×2 — 재료·전력·생산 주기는 그대로, 벨트는 제외(12/초 고정). 구 표기 「생산량 200%」와 같은 값이다",합체 예외 — 극적인 효과 + 두 마운트를 비우지 않게 받치는 장치,밸런스「밸런스 확정 원칙」합체 예외 · 260917_W03 5장·7-2
29,dodgeStacksPerBooster,부스터 1대당 회피 스택 칸,합체·버스트,4,1,회피 스택 상한 = 부스터 노드 대수 × 이 계수. 구 2칸 → 4칸(2026-09-17 사용자 확정) — 260917_V02 2-2 실측에서 상한 4가 필요치 50부터 이미 병목이었다. 시작 보드(부스터 둘) 상한 8,로봇 생존 손잡이 — 그릇 쪽. 채우는 속도(추진제 필요 생산치)와 다른 축이다,밸런스「회피와 기동 라인」· 전투「회피」· 260917_W04 2장
30,droneAoeDamageFactor,광역형 드론 표적당 피해 비 (🗑️ 파생 · 읽지 않음),원점·곡선,0.5,0,"🗑️🗑️ **폐기 — 좌표 `dBAoe` 50 으로 이관**(2026-09-19 · `260918_W02` 5장 문안). **값은 남기되 읽는 곳이 없다.** 이 배수는 이제 표의 좌표 둘(누적형 100 · 광역형 50)에서 **나눠서** 나온다 — 같은 값이 문서에 50, 코드에 0.5 로 두 자리에 살던 것을 한 자리로 모았다. 아래는 폐기 전 근거다. ⚠️ **가정 표기** — 사용자가 「문서대로 코드를 절반으로」로 닫았고(2026-09-18), 수는 `260918_W01` 3-1 표의 **표적 하나당 50 대 100**에서 온다. ⚠️ **갈리는 자리 하나를 구현이 가정으로 닫았다** — 「표적당 절반」이 ① 타격당 피해만 절반인지 ② 충전량 자체가 절반인지가 문서에 없다. ①로 둔다: **충전량과 수명은 그대로이고 타격당 피해만 절반**이다. 까닭은 W01 3-1 의 본전 계산이 **한 대 때릴 때의 수**(99 대 49)를 맞대고 있어서다 — ②로 두면 수명이 반이 되어 그 표가 다른 것을 재게 된다. 곁에 튀는 피해도 같은 비를 쓴다",광역형의 대가 — 여럿을 치는 대신 하나에는 절반만 준다,260918_W01 3-1 · 플레이어블 로봇 기획서「무기 스펙트럼」
31,droneAoeJudgeRadius,광역형 드론 광역 판정 반경(칸),원점·곡선,5,0,"✅ **5칸 — 사용자 확정**(2026-09-21). 🗑️ 구 3칸 폐기(09-19 확정을 이틀 만에 뒤집었다). ⚠️ `confirmed` 는 **false 그대로** — 확정된 것은 이 수이고 본전 몇 마리인지는 아직 안 쟀다. ⚠️ 고리 그림은 **판정 지름 그대로**(10칸)라 화면에서 두 배로 커진다. 아래는 3칸 때의 근거다. ✅ **3칸 — 사용자 확정**(2026-09-19 설계 창). ⚠️ `confirmed` 는 **false 로 둔다** — 확정된 것은 **이 수**이고, 본전 몇 마리가 나오는지는 아직 안 쟀다(고리 같은 값). 🗑️ 구 2칸 폐기 — 아래는 그때의 근거다. ⚠️ **잠정 점값**(2026-09-18 · 260918_W01 3장). 설계가 확정한 것은 반경이 아니라 **본전 4마리**이고, 2칸은 그 4마리를 만들 것으로 보고 넣은 추정이다(보병 유효 사거리 2.0에서 끌어왔다). 🗑️ 구 거동 폐기 — 반경 칸이 없어 **드론 사거리 9.2를 그대로** 쓰고 있었고, 그러면 화면 안 적이 사실상 전부 들어와 광역형에 대가가 없었다. 광역형 한 기의 **평균 표적 수 실측**이 나오면 그 수에 맞춰 옮긴다",광역형의 대가를 세운다 — 몇 마리를 한꺼번에 맞혀야 누적형과 본전이 되는가,260918_W01 3장 · 전투 시스템 문서「드론 운용」
32,mountDroneStackFactor,드론 스택 비(탄약 대비),원점·곡선,0.5,0,"⚠️ **가정 표기** — 값 0.5는 2026-09-18 사용자 확정(「현재의 1/2」)이고, **칸만 코드에서 여기로 옮겨 왔다**(구 `MountLoad.DroneStackFactor` 코드 상수 폐기 · 지침 §3 하드코딩 금지). 로봇 B 마운트 적재량 = 슬롯 8 × 스택 10 × 이 비 = **40**. 🗑️ 구 80 폐기 — 한 판에 만충이 한 번도 안 섰다. ⚠️ 대가 — 적재량이 줄어든 만큼 태그 스킬도 약해진다(등가선 재산출 입력)",로봇 B의 만충을 한 판 안에 서게 한다 — 자주 터지고 약해지는 쪽,260918_V01 8-5 · 260918_W01 6장
33,dodgeMoveDistance,회피 이동 거리(칸),원점·곡선,1.25,1,✅ **1.25 칸 — 사용자 확정 2026-09-18 리허설**(구 0.5 의 2.5 배 · 「회피가 눈에 안 띈다」). 🗑️ 구 0.5(격자 반 칸) 폐기. ⚠️ 시간(0.167초)은 안 건드렸으므로 **같은 시간에 2.5 배를 간다** — 속도가 2.5 배다. 구 근거: 격자 **반 칸**(아트 픽셀 96) · 사용자 확정 2026-09-17(260917_W08 2장) — 구 「설계 가정 · 미확정」 폐기. 같은 확정 묶음의 나머지 둘은 수가 아니라 규칙이라 코드에 산다 — **방향 = 가장 가까운 적의 반대쪽을 4방향에 맞춘 것**(자동) · **곡선 = 감속형**(`DodgeMotion`),회피가 화면에서 보이게 — 기체가 짧게 밀려난다,전투 시스템 문서「회피」 이동 행 · 260917_W07 3장
34,dodgeMoveSeconds,회피 이동 시간(초),원점·곡선,0.167,1,**무적과 같이 시작하고 같이 끝난다**(`DodgeSystem.InvincibleSeconds` 와 같은 수). ✅ **사용자 확정 2026-09-17**(260917_W08 2장). 📌 두 값이 갈리면 무적이 끝난 뒤에도 밀리거나 그 반대가 된다 — 시험이 둘을 맞대고 있다,회피가 화면에서 보이게 — 기체가 짧게 밀려난다,전투 시스템 문서「회피」 이동 행 · 260917_W07 3장
35,propellantNeed,추진제 필요 생산치,합체·버스트,30,1,기초 군수 1대가 3초에 1개(노드 생산력 10 ÷ 필요 생산치 30). 구 150(15초에 1개) 폐기 — 2026-09-17 사용자 확정. 리허설에서 회피가 제대로 발동했는데도 드물어 안 보였다,로봇 생존 손잡이 — 채우는 속도 쪽. 그릇(회피 스택 상한)과 다른 축이다,밸런스「회피와 기동 라인」·「레시피와 탄종 재정의」 · 260917_W06 2장
36,robotHp,로봇 HP,원점·곡선,1000,1,로봇 A·B 동일. 2026-09-17 사용자 확정 — 사람이 HP 1000 으로 S1 을 넘겼다. 하네스는 같은 값에서 졌지만 하네스는 수동 회피·태그·보드 재배치를 하지 않으므로 하한선으로 읽는다,생존 세 층의 맨 아래. 가운데 층(쉴드)이 채워지면 함께 다시 본다,플레이어블 로봇 기획서「생존 체계」· 밸런스「회피와 기동 라인」 · 260917_W05 3장
37,shieldMax,쉴드 최대치,원점·곡선,0,0,🗑️ **폐기 — 2026-09-17 사용자 결정.** 로봇에 고정으로 걸던 그릇이다. 최대치는 이제 **쉴드 발생 노드 수 × shieldMaxPerNode** 다(회피의 「부스터 × 4」와 같은 규칙). `260917_V04` 구현 판단 4(「최대치는 로봇의 것 · 노드는 속도만」)가 뒤집혔다. ⚠️ 값 0 을 그대로 둔다 — 이 칸을 읽는 곳이 남아 있으면 0 이어야 옛 규칙이 안 살아난다,생존 세 층의 가운데 — 쉴드,플레이어블 로봇 기획서「생존 체계」 · 260917_W05 5장
38,shieldMaxPerNode,쉴드 발생 노드 1대당 최대치,원점·곡선,200,1,쉴드 최대치 = **발생 노드 수 × 200** (2026-09-17 사용자 확정). 회피 스택 상한이 「부스터 대수 × 4」인 것과 **같은 규칙**이라 생존 두 층이 한 문법으로 읽힌다. ⚠️ **노드가 0 이면 최대치도 0** — 시작 보드에 쉴드 줄이 없으므로 배포 거동은 지금 그대로다. ⚠️ 충전률(개당 충전량)은 **아직 미정**이다,보드가 생존을 바꾸는 고리 — 그릇도 노드가 정한다,플레이어블 로봇 기획서「생존 체계」 · 260917_W05 5장 · 사용자 결정 09-17
39,shieldChargePerMaterial,쉴드 재료 1개당 충전량,원점·곡선,0,0,🗑️ 폐기 — 2026-09-17 사용자 결정. 개당 충전량을 직접 정하던 칸이다. 충전률이 **최대치의 고정 비율**이 되면서 개당 충전량은 **파생값**이 됐다 (= 최대치 × 비율 ÷ 노드 대당 재료 소비). ⚠️ 값 0 을 그대로 둔다 — 읽는 곳이 남아도 옛 규칙이 안 살아난다,생존 세 층의 가운데 — 쉴드,플레이어블 로봇 기획서「생존 체계」 · 260917_W05 5장
40,shieldChargeRatioPerSec,쉴드 초당 충전 비율,원점·곡선,0.025,1,"쉴드 충전률 = **최대치 × 0.025/초** (2026-09-17 사용자 확정). 노드 수와 무관한 **고정 비율**이라 빈 게이지가 차는 데 늘 **40초**다 — 노드 1대·최대치 200 이면 5/초. ⚠️ **재료 게이트는 그대로다** — 재료가 안 오면 그만큼 느려지고, 아예 없으면 안 찬다. 개당 충전량은 이제 파생값이다(최대치 × 비율 ÷ 노드 대당 소비)",그릇이 커지면 채우는 데 걸리는 시간은 그대로 — 두 손잡이가 안 겹친다,플레이어블 로봇 기획서「생존 체계」 · 사용자 결정 09-17
41,shieldMaterialPerSec,쉴드 발생 노드 1대의 재료 소비(개/초),원점·곡선,1,0,측정용 고정값 1 — 쉴드 재료 필요 생산치가 10이라 기초 군수 1대가 1개/초를 낸다(군수 1대 = 발생 노드 1대). **확정값이 아니다**,생존 세 층의 가운데 — 쉴드,플레이어블 로봇 기획서「생존 체계」 · 260917_W05 5장
42,bd,합체 지속(초),합체·버스트,20,1,15초=필연 밴드 협소 / 30초=만충 제약 충돌,예산식 지속 항 (구 '버스트 지속' 폐기 — 지속은 합체의 속성),밸런스 5-2 (2026-07-23)
43,gaugeFull,게이지 만충(초),합체·버스트,90,1,"공통 게이지 1개(전투 수행 충전·스테이지당 1회) — 그리드 15×6, 제약 만충≤100초 충족",합체·버스트 동시 발동 조건,밸런스 5-1 (2026-07-23)
44,bc,버스트 계수 %,합체·버스트,300,1,순간 1회 = 발동 순간 스냅샷 × 300% ≈ 852 — 예산 밖 마진 항,오프닝 필살 스파이크 (등장 특공과 동렬),밸런스 5-3 (2026-07-23)
45,scrapPerKill,마리당 고철,경제(고철),2,0,처치당 고철(TBD — 노드 가격 카탈로그와 결합 확정),고철=킬 기반,스테이지 기획서「파밍 규칙」
46,offlineHours,"오프라인 시간(h,상한36)",경제(고철),8,0,꺼둔 시간(상한 36h만 확정),오프라인 창,스테이지 기획서「오프라인 보상」
47,offlineCoef,오프라인 계수,경제(고철),0.5,0,수입 계수(TBD 밴드 — 1 미만이어야 꺼두는 편이 이득이 되지 않음),"수입 = 상주 스테이지 최고 파밍 시급 × min(꺼둔 시간, 36h) × 계수",스테이지 기획서「오프라인 보상」
48,offlineBaseRate,오프라인 기본 시급(고철/h),경제(고철),0,0,상주 스테이지에 파밍 기록이 없을 때 쓰는 값(TBD). 0 = 미측정 센티넬,기록 없음 폴백,스테이지 기획서「오프라인 보상」
